Server,Backup Job,Platform,Schedule,Backup Start Sequence,Backup Start Time,Storage,Media Set,Expiration ,Encryption,Compression,Priority,Backup Selection
ccure-srv,CCURE-SRV-Weekly,Windows,Weekly Full,Friday,8:30pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,Medium,"C:\*.*, D:\*.*"
ccure-srv,CCURE-SRV-Weekly,Windows,Daily Incremental,Daily,8:30pm,Any tape cartridge storage,Keep Data for 4 weeks,4 weeks,Software,Hardware,Medium,"C:\*.*, D:\*.*"
protrack,Protrack Backup,Linux,Daily Full,Daily,10:00pm,Local vRay Storage,n/a,10 days,Software,n/a,Medium,"\[ROOT]\*.*, (/sys/*) (/proc/*) (/u/pgdata/*)"
protrack,Protrack Backup,Linux,Monthly Full,End of month,10:00pm,WWP Robotic Library New [1..40],Month Ends,Infinite,Software,Hardware,Medium,"\[ROOT]\*.*, (/sys/*) (/proc/*) (/u/pgdata/*)"
protrack,Protrack Backup,Linux,Duplicate Full,"Tuesday, Friday",1:30am,WWP Robotic Library New [41..80],Sweep to tape,4 weeks,Software,Hardware,n/a,"\[ROOT]\*.*, (/sys/*) (/proc/*) (/u/pgdata/*)"
protrack,protrack XXXX temp directory,Linux,Weekly Full,Friday,11:00pm,Any disk storage,n/a,2 weeks,Software,n/a,Medium,/u/protrack/xxxx/tmp/*.*
protrack,protrack XXXX temp directory,Linux,Daily Incremental,Daily,11:00pm,Any disk storage,n/a,1 week,Software,n/a,Medium,/u/protrack/xxxx/tmp/*.*
ta-db,ta-db Backup,Linux,Weekly Full,Monday,1:00am,WWP Robotic Library New [41..80],Team Approach,4 weeks,Software,Hardware,Medium,"\[ROOT]\*.*, (/mnt/transfer/nfs_shares/ta-dbstage_u13/*) (/mnt/transfer/nfs_shares/ta-app_u12/*) (/u10/oradata/wnet/*) (/u12/oradata/wnet/*) (/u13/oradata/wnet/*) (/u14/oradata/wnet/*)"
ta-db,ta-db Backup,Linux,Incremental,"Sunday, Tuesday, Wednesday, Thursday, Friday, Saturday",1:00am,WWP Robotic Library New [41..80],Team Approach,4 weeks,Software,Hardware,Medium,"\[ROOT]\*.*, (/mnt/transfer/nfs_shares/ta-dbstage_u13/*) (/mnt/transfer/nfs_shares/ta-app_u12/*) (/u10/oradata/wnet/*) (/u12/oradata/wnet/*) (/u13/oradata/wnet/*) (/u14/oradata/wnet/*)"
ta-db,ta-db Backup,Linux,Monthly Full,Last Monday,1:00am,WWP Robotic Library New [1..40],Month Ends,Infinite,Software,Hardware,Medium,"\[ROOT]\*.*, (/mnt/transfer/nfs_shares/ta-dbstage_u13/*) (/mnt/transfer/nfs_shares/ta-app_u12/*) (/u10/oradata/wnet/*) (/u12/oradata/wnet/*) (/u13/oradata/wnet/*) (/u14/oradata/wnet/*)"
ta-db,ta-db_Cold_Backup,Linux,Weekly Full,Sunday,1:00am,WWP Robotic Library New [41..80],Team Approach,4 weeks,Software,Hardware,Medium,"\[ROOT]\*.*, (/mnt/transfer/nfs_shares/ta-app_u12/*)"
wnet-ad05,WNET-AD05,Windows,Monthly Full,End of month,11:00pm,Any tape cartridge storage,Month Ends,Infinite,Software,Hardware,Medium,"C:\*.*, System State\*"
wnet-ad05,WNET-AD05,Windows,Weekly Full,Friday,11:00pm,Local vRay Storage,n/a,2 week,Software,n/a,Medium,"C:\*.*, System State\*"
wnet-ad05,WNET-AD05,Windows,Daily Incremental,Daily,11:00pm,Local vRay Storage,n/a,1 week,Software,n/a,Medium,"C:\*.*, System State\*"
wnet-ad05,WNET-AD05,Windows,Duplicate Full,After Weekly Full,-,Any tape cartridge storage,Sweep to tape,5 weeks,Software,,n/a,"C:\*.*, System State\*"
wnet-autopilot,WNET-AUTOPILOT Database Backup,Windows,Daily Full,Daily,11:00pm,WWP Robotic Library New [41..80],Keep Data for 4 weeks,4 weeks,Software,Hardware,Medium,C:\ProgramData\Burk Technology\*
wnet-choco01,wnet-choco01 Backup,Windows,Weekly Full,Saturday,12:00am,WWP Robotic Library New,Full Backups Media Set,-,Software,Hardware,Medium,-
wnet-choco01,wnet-choco01 Backup,Windows,Daily Incremental,Daily,6:00pm,WWP Robotic Library New,Incremental Backups Media Set,-,Software,Hardware,Medium,-
